country,year,comlaw,france,pop,ppp94,ODA,FREEDOM,ethnic,efw,coldwar,gdpgrowt,col_uk,col_fran,uk_aid,franc_ai,us_aid,USexp
Angola,1990,0,0,9.7,1600,8.7,1,65,,1,-0.2674622,0,0,2.2,11.1,1,164.67
Angola,1991,0,0,9.7,1600,9.6,3,65,,1,0.6527196,0,0,3.3,10.6,10,207.02
Angola,1992,0,0,9.7,1600,10,2,65,,1,-5.13059,0,0,3,27,3,173.25
Angola,1993,0,0,9.7,1600,15.1,1,65,,1,-23.76151,0,0,4.8,18.6,14,185.46
Angola,1994,0,0,9.7,1600,18.1,1,65,,1,1.397599,0,0,25.1,27.4,34,223.85
Angola,1995,0,0,9.7,1600,15.4,2,65,,1,10.3,0,0,21.5,35.1,31,285.89
Angola,1996,0,0,9.7,1600,15.8,2,65,,1,9.999996,0,0,16.2,11.9,25,294.8
Angola,1997,0,0,9.7,1600,9.9,2,65,,1,6.200004,0,0,,,,308.88
Benin,1990,0,1,4.6,1696,14.9,3,55,5.7,1,3.213188,0,1,0.6,66.7,5,23.07
Benin,1991,0,1,4.6,1696,14.5,5.5,55,,1,4.722509,0,1,0.3,83.9,3,17.72
Benin,1992,0,1,4.6,1696,17.1,5.5,55,,1,4.00998,0,1,6.7,35.8,16,34.22
Benin,1993,0,1,4.6,1696,14,5.5,55,,1,3.519343,0,1,0.1,45.6,11,22.98
Benin,1994,0,1,4.6,1696,17.6,5.5,55,,1,4.372456,0,1,0,56.4,16,15.79
Benin,1995,0,1,4.6,1696,14.3,6,55,4.7,1,4.604261,0,1,0,54.3,11,35.86
Benin,1996,0,1,4.6,1696,13.5,6,55,,1,5.547403,0,1,0,44.3,7,20.37
Benin,1997,0,1,4.6,1696,10.7,6,55,4.9,1,5.715829,0,1,,,,45.73
Botswana,1990,1,0,1.2,5367,4.5,6.5,3,6,0,7.219595,1,0,10.3,2.2,15,
Botswana,1991,1,0,1.2,5367,3.4,6.5,3,,0,7.479452,1,0,15.6,2.3,12,
Botswana,1992,1,0,1.2,5367,2.8,6.5,3,,0,3.004228,1,0,10.4,2.1,7,
Botswana,1993,1,0,1.2,5367,3,5.5,3,,0,1.976123,1,0,9.8,1.1,12,
Botswana,1994,1,0,1.2,5367,2.2,5.5,3,,0,3.59681,1,0,4.2,0.7,12,
Botswana,1995,1,0,1.2,5367,2,6,3,6.8,0,5.072267,1,0,5.9,0.7,13,
Botswana,1996,1,0,1.2,5367,1.7,6,3,,0,6.945566,1,0,4.7,0.7,7,
Botswana,1997,1,0,1.2,5367,2.6,6,3,6.6,0,4,1,0,,,,
Burkina Faso,1990,0,1,8.8,796,12.2,2.5,65,,0,-1.51803,0,1,0.5,85.3,11,33.81
Burkina Faso,1991,0,1,8.8,796,15.2,2.5,65,,0,9.954032,0,1,2.2,116,22,26.22
Burkina Faso,1992,0,1,8.8,796,22.1,3,65,,0,2.484594,0,1,0.6,120.6,13,29.74
Burkina Faso,1993,0,1,8.8,796,23.1,3.5,65,,0,-0.7868588,0,1,0.4,118.9,18,19.37
Burkina Faso,1994,0,1,8.8,796,23.7,3.5,65,,0,1.204701,0,1,0.2,99.3,13,20.98
Burkina Faso,1995,0,1,8.8,796,20.8,3.5,65,,0,3.968688,0,1,0.5,111.3,14,22.45
Burkina Faso,1996,0,1,8.8,796,16.5,3.5,65,,0,5.975131,0,1,0.5,100,9,24.61
Burkina Faso,1997,0,1,8.8,796,15.5,3.5,65,,0,4.750325,0,1,,,,22.36
Burundi,1990,0,0,5.3,698,23.8,1.5,20,3.9,0,3.499822,0,1,0.3,37.7,18,2.41
Burundi,1991,0,0,5.3,698,22.4,1.5,20,,0,4.996837,0,1,0.4,42.2,6,4.2
Burundi,1992,0,0,5.3,698,29.1,2.5,20,,0,0.7029143,0,1,0.3,36.4,16,9.46
Burundi,1993,0,0,5.3,698,22.7,1,20,,0,-5.708837,0,1,1.2,28.5,18,4.1
Burundi,1994,0,0,5.3,698,29.6,1.5,20,,0,-3.862806,0,1,4.6,23,10,8.36
Burundi,1995,0,0,5.3,698,23.7,1.5,20,3.5,0,-7.265399,0,1,1.8,17.5,23,11.42
Burundi,1996,0,0,5.3,698,18.1,1,20,,0,-8.36076,0,1,2.6,13,2,5.73
Burundi,1997,0,0,5.3,698,12.6,1,20,4.2,0,0.3741985,0,1,,,,2.29
Cameroon,1990,0,1,11.6,2120,4.3,2,77,5.5,0,-6.105698,0,1,3.7,171.8,39,73.04
Cameroon,1991,0,1,11.6,2120,4.5,2,77,,0,-3.808599,0,1,5.4,175.7,53,78.89
Cameroon,1992,0,1,11.6,2120,6.7,2.5,77,,0,-3.1,0,1,6.1,407.3,28,65.31
Cameroon,1993,0,1,11.6,2120,7.6,2.5,77,,0,-3.2,0,1,4.3,425.7,22,62.95
Cameroon,1994,0,1,11.6,2120,10,2.5,77,,0,-2.5,0,1,3.6,308.6,8,57.7
Cameroon,1995,0,1,11.6,2120,6.1,2,77,5.2,0,3.3,0,1,3.7,265.2,3,22.65
Cameroon,1996,0,1,11.6,2120,4.9,2,77,,0,5,0,1,4,176,1,102.28
Cameroon,1997,0,1,11.6,2120,5.9,2,77,5.1,0,5.1,0,1,,,,113.13
Cape Verde,1990,0,0,0.361,1862,36.2,3,29,,1,0.7039499,0,1,0.1,6.4,5,6.49
Cape Verde,1991,0,0,0.361,1862,33.1,5.5,29,,1,1.412753,0,1,0.2,5.1,5,4.73
Cape Verde,1992,0,0,0.361,1862,34,6.5,29,,1,3.261196,0,1,0.2,4.9,5,4.51
Cape Verde,1993,0,0,0.361,1862,36,6.5,29,,1,7.058093,0,1,0.2,6.5,4,20.46
Cape Verde,1994,0,0,0.361,1862,35.3,6.5,29,,1,6.929803,0,1,0,5,5,5.06
Cape Verde,1995,0,0,0.361,1862,27.1,6.5,29,,1,7.495447,0,1,0.2,8.6,6,7.81
Cape Verde,1996,0,0,0.361,1862,28.7,6.5,29,,1,4.002845,0,1,0,5.8,7,74.58
Cape Verde,1997,0,0,0.361,1862,,6.5,29,,1,4.997762,0,1,,,,10.89
Central African Rep.,1990,0,1,3,1130,17.4,2.5,74,4.4,0,-2.147644,0,1,0.1,71,3,1.54
Central African Rep.,1991,0,1,3,1130,12.8,2.5,74,,0,-0.5524293,0,1,0.2,69.7,4,3.22
Central African Rep.,1992,0,1,3,1130,13,2.5,74,,0,-6.424095,0,1,0.1,70,3,2.54
Central African Rep.,1993,0,1,3,1130,14,4.5,74,,0,0.335147,0,1,0,87.7,3,1.65
Central African Rep.,1994,0,1,3,1130,19,4.5,74,,0,4.9,0,1,0,62,10,2.34
Central African Rep.,1995,0,1,3,1130,15,4.5,74,4.4,0,7.2,0,1,0,52.5,3,4.64
Central African Rep.,1996,0,1,3,1130,16.1,4,74,,0,-4,0,1,0.1,66.6,2,3.96
Central African Rep.,1997,0,1,3,1130,9.2,4,74,4.3,0,5.3,0,1,,,,4.07
Chad,1990,0,1,5.5,700,26.2,1.5,144,5.2,0,-4.178473,0,1,0.3,125,18,8.8
Chad,1991,0,1,5.5,700,20.2,2,144,,0,8.535137,0,1,0.5,83.9,18,15.07
Chad,1992,0,1,5.5,700,18.1,2,144,,0,8.001443,0,1,0.6,90.3,24,5.83
