firm_id,num_dir,num_dir_gov,profit,employee,age,industry,gov_rate
1,9,8,0.0,138,49,Health,0.8888888888888888
2,6,5,11.3,380,81,Retail,0.8333333333333334
3,7,6,6.75,471,76,Retail,0.8571428571428571
4,11,5,6.06,413,30,Tech,0.45454545454545453
5,5,5,0.0,78,98,Finance,1.0
6,11,6,0.0,117,88,Health,0.5454545454545454
7,5,5,0.0,179,98,Manufacturing,1.0
8,5,5,7.47,203,16,Health,1.0
9,10,7,3.25,373,18,Retail,0.7
10,11,5,10.02,399,42,Retail,0.45454545454545453
11,11,6,0.0,164,88,Finance,0.5454545454545454
12,9,5,12.49,135,3,Manufacturing,0.5555555555555556
13,11,7,8.76,265,29,Manufacturing,0.6363636363636364
14,9,6,0.0,443,26,Health,0.6666666666666666
15,5,5,0.0,178,8,Tech,1.0
16,10,7,0.0,136,43,Tech,0.7
17,11,8,0.0,355,31,Health,0.7272727272727273
18,6,5,0.45,301,75,Tech,0.8333333333333334
19,7,6,0.0,237,97,Finance,0.8571428571428571
20,8,8,0.0,322,24,Manufacturing,1.0
21,11,7,5.72,486,57,Tech,0.6363636363636364
22,5,5,0.0,442,29,Tech,1.0
23,6,5,0.0,405,48,Health,0.8333333333333334
24,11,8,0.56,224,41,Retail,0.7272727272727273
25,11,8,2.97,218,34,Manufacturing,0.7272727272727273
26,9,5,11.6,433,94,Health,0.5555555555555556
27,6,6,0.0,336,61,Retail,1.0
28,9,8,0.07,168,72,Health,0.8888888888888888
29,6,6,1.43,215,25,Health,1.0
30,7,6,0.0,476,9,Tech,0.8571428571428571
31,5,5,1.19,147,97,Finance,1.0
32,9,7,0.0,395,92,Retail,0.7777777777777778
33,10,6,0.0,330,83,Finance,0.6
34,6,6,8.93,182,11,Manufacturing,1.0
35,7,5,12.2,231,66,Tech,0.7142857142857143
36,5,5,5.41,292,6,Manufacturing,1.0
37,8,8,0.0,350,78,Manufacturing,1.0
38,11,7,0.0,236,6,Retail,0.6363636363636364
39,8,8,4.57,80,23,Tech,1.0
40,5,5,0.0,288,4,Finance,1.0
41,11,7,0.0,350,33,Tech,0.6363636363636364
42,7,6,0.4,354,41,Tech,0.8571428571428571
43,8,8,0.0,136,53,Retail,1.0
44,7,5,10.39,112,82,Finance,0.7142857142857143
45,11,5,0.55,94,48,Retail,0.45454545454545453
46,9,7,4.02,179,39,Manufacturing,0.7777777777777778
47,9,5,0.0,463,12,Finance,0.5555555555555556
48,5,5,0.0,162,57,Finance,1.0
49,8,8,1.14,106,15,Finance,1.0
50,10,7,0.0,495,51,Finance,0.7
51,5,5,8.67,246,53,Health,1.0
52,11,6,10.22,82,41,Tech,0.5454545454545454
53,9,6,11.58,60,69,Tech,0.6666666666666666
54,8,6,10.12,435,26,Tech,0.75
55,6,6,3.63,499,63,Finance,1.0
56,9,6,13.11,212,22,Health,0.6666666666666666
57,5,5,0.0,266,17,Retail,1.0
58,11,7,0.0,281,52,Manufacturing,0.6363636363636364
59,5,5,0.0,102,16,Retail,1.0
60,7,5,0.0,329,25,Finance,0.7142857142857143
61,9,6,1.93,449,84,Retail,0.6666666666666666
62,11,8,0.0,352,95,Retail,0.7272727272727273
63,7,7,5.45,457,48,Finance,1.0
64,5,5,0.0,328,85,Retail,1.0
65,11,8,0.0,335,71,Health,0.7272727272727273
66,6,6,1.13,217,76,Tech,1.0
67,11,6,0.0,436,48,Manufacturing,0.5454545454545454
68,8,5,10.13,111,47,Finance,0.625
69,5,5,0.0,442,66,Manufacturing,1.0
70,11,6,12.96,226,47,Tech,0.5454545454545454
71,11,6,11.04,435,79,Retail,0.5454545454545454
72,11,8,0.0,50,28,Manufacturing,0.7272727272727273
