"time","engage_practice","infrastru_campus","aware_group","course_take","more_course","mandate_course","statement_important","environ_issue","scholarship","apply_schloarship","event","motive_event","hs_course","hs_course_take","fee","reward","punish","reward_effect","punish_effect","peer_practice","peer_practice_often","college","off_on_campus","gender","student_status","edu_level","nccu_year","income","continent","parent_edu","gpa"
"2023-10-31 19:48:10",1,"LED lighting, Recycling Bins","I was not aware that NCCU has a Sustainability Working Group.","None",4,2,"Carbon dioxide is the primary gas responsible for the greenhouse effect, The government should take an active role in the global effort to curb the problem of rapid climate change","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement)","No",2,0,"To support campus sustainability initiatives","No","0.0",1,"No","No",1,1,"No","Never","International College of Innovation","On-campus","Female","International student","Undergraduate","1-2","25,000-49,999","Southeast Asia","Other","3~3.99"
"2023-10-31 21:54:57",4,"Solar Panels, Green Roofs, Recycling Bins, Electric Scooter","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",5,2,"Human induced climate change is occurring at some level, Humankind will die out if we don't live in tune with nature, Every time we use coal, oil or gas we contribute to climate change","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Water Management, Waste Minimization and Disposal, Landscape Integrated with Aesthetic Education, Biodiversity Conservation, Resilience, Adaptation and Disaster Mitigation","Yes",3,0,"To support campus sustainability initiatives, Social interaction with like-minded individuals","Yes","1.0",3,"Yes","No",3,2,"Yes","Once a week","International College of Innovation","On-campus","Female","International student","Undergraduate","1-2","Less than 24,999","Eastern Asia","Bachelor's Degree","Above 4"
"2023-10-31 22:05:26",4,"LED lighting, Green Roofs, Recycling Bins, Electric Bus","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",4,1,"Human induced climate change is occurring at some level, Humankind will die out if we don't live in tune with nature, Every time we use coal, oil or gas we contribute to climate change, My personal computer use contributes to climate change, Carbon dioxide is the primary gas responsible for the greenhouse effect, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Landscape Integrated with Aesthetic Education, Biodiversity Conservation","Yes",2,1,"To support campus sustainability initiatives, Social interaction with like-minded individuals, Course or program requirement","Yes","3.0",1,"Yes","No",1,1,"Yes","Once a month","International College of Innovation","On-campus","Female","International student","Undergraduate","1-2","25,000-49,999","Eastern Asia","Other","3~3.99"
"2023-10-31 22:11:04",5,"LED lighting, Recycling Bins","I was not aware that NCCU has a Sustainability Working Group.","3.0",2,2,"Human induced climate change is occurring at some level, Every time we use coal, oil or gas we contribute to climate change, My personal computer use contributes to climate change, The government should take an active role in the global effort to curb the problem of rapid climate change","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Waste Minimization and Disposal","No",3,0,"Desire to learn more about sustainability, Course or program requirement","Yes","3.0",2,"Yes","Yes",3,3,"Yes","Once a week","International College of Innovation","Off-campus","Male","Domestic student","Undergraduate","1-2","Higher than 100,000","Eastern Asia","Bachelor's Degree","3~3.99"
"2023-10-31 23:02:37",4,"LED lighting, Solar Panels, Green Roofs, Recycling Bins, Electric Bus, Electric Scooter","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",3,2,"Human induced climate change is occurring at some level, Every time we use coal, oil or gas we contribute to climate change, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Waste Minimization and Disposal, Landscape Integrated with Aesthetic Education","No",4,1,"Interest in environmental issues, Social interaction with like-minded individuals","Yes","1.0",3,"No","No",3,3,"Yes","Once a week","International College of Innovation","On-campus","Female","Overseas Chinese student","Undergraduate","1-2","","Eastern Asia","Bachelor's Degree","3~3.99"
"2023-11-01 00:33:15",6,"LED lighting, Recycling Bins","I was not aware that NCCU has a Sustainability Working Group.","None",5,4,"Humankind will die out if we don't live in tune with nature, Every time we use coal, oil or gas we contribute to climate change, Carbon dioxide is the primary gas responsible for the greenhouse effect, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Water Management, Waste Minimization and Disposal","No",5,0,"Desire to learn more about sustainability, Social interaction with like-minded individuals","Yes","1.0",5,"No","No",2,1,"Yes","Everyday","College of Social Sciences","Off-campus","Female","Exchange student","Undergraduate","Less than 1","50,000-74,999","Europe","Other","2~2.99"
"2023-11-01 01:00:33",3,"LED lighting, Recycling Bins, Electric Bus, Electric Scooter","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",3,3,"Human induced climate change is occurring at some level, Humankind will die out if we don't live in tune with nature, Every time we use coal, oil or gas we contribute to climate change, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Waste Minimization and Disposal, Resilience, Adaptation and Disaster Mitigation","No",4,1,"Desire to learn more about sustainability, To support campus sustainability initiatives, Social interaction with like-minded individuals","Yes","2.0",2,"Yes","Yes",2,2,"Yes","Everyday","International College of Innovation","On-campus","Female","International student","Undergraduate","1-2","50,000-74,999","Southeast Asia","Bachelor's Degree","3~3.99"
"2023-11-01 01:19:45",3,"LED lighting, Recycling Bins, Electric Bus","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",3,3,"Human induced climate change is occurring at some level, Environmental issues are very important to me","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Waste Minimization and Disposal, Resilience, Adaptation and Disaster Mitigation","Yes",3,1,"Interest in environmental issues, Desire to learn more about sustainability, To support campus sustainability initiatives, Social interaction with like-minded individuals","Yes","2.0",4,"Yes","Yes",3,3,"Yes","Once a week","International College of Innovation","On-campus","Female","International student","Undergraduate","1-2","25,000-49,999","Southeast Asia","High School or lower","3~3.99"
"2023-11-01 07:30:32",5,"LED lighting, Solar Panels, Recycling Bins, Electric Bus","I was aware that NCCU has a Sustainability Working Group, but I do not know where it is.","1.0",5,4,"Human induced climate change is occurring at some level, Humankind will die out if we don't live in tune with nature, Carbon dioxide is the primary gas responsible for the greenhouse effect, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Low Carbon Campus (Emissions, Building, Dining, Transportation, Procurement), Energy Conservation and Renewables, Water Management, Waste Minimization and Disposal, Resilience, Adaptation and Disaster Mitigation","No",3,0,"Interest in environmental issues, Desire to learn more about sustainability, To support campus sustainability initiatives","Yes","1.0",4,"Yes","No",2,2,"Yes","Once a week","International College of Innovation","Off-campus","Female","Domestic student","Undergraduate","1-2","Less than 24,999","Eastern Asia","High School or lower",""
"2023-11-01 09:07:58",3,"LED lighting, Solar Panels, Electric Bus, Electric Scooter","I was aware that NCCU has a Sustainability Working Group, and I know where it is.","None",5,3,"Human induced climate change is occurring at some level, Humankind will die out if we don't live in tune with nature, Every time we use coal, oil or gas we contribute to climate change, My personal computer use contributes to climate change, Carbon dioxide is the primary gas responsible for the greenhouse effect, The government should take an active role in the global effort to curb the problem of rapid climate change, Environmental issues are very important to me","Energy Conservation and Renewables, Water Management, Biodiversity Conservation","No",3,2,"Interest in environmental issues, To support campus sustainability initiatives","No","0.0",4,"No","Yes",3,2,"Yes","Once a week","College of International Affairs","On-campus","Male","Domestic student","Undergraduate","1-2","Less than 24,999","Eastern Asia","Bachelor's Degree","Above 4"
